Symptoms,Disease,Description,Precautions,Disclaimer
"congestion, cough, fever, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, runny nose, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"congestion, fever, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, fever, runny nose, sneezing",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"cough, sneezing, sore throat",Common Cold,A viral infectious disease of the upper respiratory tract.,"Drink fluids, Rest, Use humidifier, Take OTC meds","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, cough, fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"cough, fatigue, fever, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"chills, fatigue, fever, headache",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
"fatigue, headache, muscle aches",Flu,A contagious respiratory illness caused by influenza viruses.,"Rest, Stay hydrated, Take antiviral drugs, Avoid contact","MedChain+ can make mistakes, so don't panic."
